Titel,Jahr,Ort,Schwerpunkt,VeranstalterInstitut,VerstanstalterStandort,Sponsor,SponsorStandort,SponsorBetrag,VortragThema,VortragTeam,VortragTeamleiter,VortragInstitut,VortragStandort
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",Social Innovation Fund,Niederlande,12000,Nanomaterialien für die Quantenkommunikation,Nanomaterialien,Prof. Dr. Daniel Weber,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",Social Innovation Fund,Niederlande,12000,Quantensimulation in der Materialforschung,Quantensimulation,Dr. Felix Keller,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",Social Innovation Fund,Niederlande,12000,Nanomaterialien in Quantencomputern,Nanomaterialien,Prof. Dr. Daniel Weber,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",Social Innovation Fund,Niederlande,12000,Fortschritte in der Quantenfehlerkorrektur,Quantencomputing,Dr. Lara Meier,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Green Energy Partners,Dänemark,75000,Optimierung von Smart Grids zur Reduzierung des Energieverbrauchs,Energieeffizienz,Prof. Dr. Monika Braun,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Green Energy Partners,Dänemark,75000,Solaranlagen auf schwimmenden Wasserflächen,Erneuerbare Energien,Dr. Tobias Fischer,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Green Energy Partners,Dänemark,75000,Politische Impulse für eine CO2-neutrale Zukunft,Klimapolitik und Gesellschaft,Dr. Laura Lehmann,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Green Energy Partners,Dänemark,75000,Ressourcenoptimierung im Gebäudebereich,Energieeffizienz,Prof. Dr. Monika Braun,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Green Energy Partners,Dänemark,75000,Windkraft und ihre Rolle in einer grünen Zukunft,Erneuerbare Energien,Dr. Tobias Fischer,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
KI und Gesellschaft,2024,Berlin,Ethik und Auswirkungen von KI,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland",Social Innovation Fund,Niederlande,100000,KI zur Vorhersage von Naturkatastrophen,Maschinelles Lernen,Prof. Dr. Robert Vogel,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland"
KI und Gesellschaft,2024,Berlin,Ethik und Auswirkungen von KI,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland",Social Innovation Fund,Niederlande,100000,Automatisierte Logistiksysteme in der Industrie,Robotik und Automatisierung,Dr. Jana Richter,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland"
KI und Gesellschaft,2024,Berlin,Ethik und Auswirkungen von KI,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland",Social Innovation Fund,Niederlande,100000,Verantwortungsvolle KI-Entwicklung für die Gesellschaft,Ethik der KI,Dr. Markus Hahn,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland"
KI und Gesellschaft,2024,Berlin,Ethik und Auswirkungen von KI,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland",Social Innovation Fund,Niederlande,100000,KI und die Zukunft der intelligenten Fahrzeuge,Robotik und Automatisierung,Dr. Jana Richter,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland"
KI und Gesellschaft,2024,Berlin,Ethik und Auswirkungen von KI,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland",Social Innovation Fund,Niederlande,100000,Verwendung von maschinellem Lernen im Gesundheitswesen,Maschinelles Lernen,Prof. Dr. Robert Vogel,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland"
Weltall und Leben,2025,Wien,Astrobiologie und Exoplanetenforschung,Institut für Astronomie und Weltraumforschung,"Wien, Österreich",Quantum Leap Technologies,USA,25000,Leben unter extremen Bedingungen im All,Astrobiologie,Prof. Dr. Nicole Berger,Institut für Astronomie und Weltraumforschung,"Wien, Österreich"
Weltall und Leben,2025,Wien,Astrobiologie und Exoplanetenforschung,Institut für Astronomie und Weltraumforschung,"Wien, Österreich",Quantum Leap Technologies,USA,25000,Techniken zur Entdeckung erdähnlicher Exoplaneten,Exoplanetenforschung,Dr. Christian Hartmann,Institut für Astronomie und Weltraumforschung,"Wien, Österreich"
Weltall und Leben,2025,Wien,Astrobiologie und Exoplanetenforschung,Institut für Astronomie und Weltraumforschung,"Wien, Österreich",Quantum Leap Technologies,USA,25000,Die Rolle von Dunkler Energie im Universum,Kosmologie und Dunkle Materie,Dr. Florian Mayer,Institut für Astronomie und Weltraumforschung,"Wien, Österreich"
Weltall und Leben,2025,Wien,Astrobiologie und Exoplanetenforschung,Institut für Astronomie und Weltraumforschung,"Wien, Österreich",Quantum Leap Technologies,USA,25000,Erkundung von habitablen Zonen um Exoplaneten,Exoplanetenforschung,Dr. Christian Hartmann,Institut für Astronomie und Weltraumforschung,"Wien, Österreich"
Weltall und Leben,2025,Wien,Astrobiologie und Exoplanetenforschung,Institut für Astronomie und Weltraumforschung,"Wien, Österreich",Quantum Leap Technologies,USA,25000,Das Potenzial für Leben auf Mars und Titan,Astrobiologie,Prof. Dr. Nicole Berger,Institut für Astronomie und Weltraumforschung,"Wien, Österreich"
Nachhaltigkeitsstrategien für die Zukunft,2024,Stockholm,Ressourcenmanagement und Ökosysteme,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden",Social Innovation Fund,Niederlande,35000,Internationale Umweltschutzabkommen und deren Umsetzung,Umweltpolitik,Prof. Dr. Claudia Bauer,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden"
Nachhaltigkeitsstrategien für die Zukunft,2024,Stockholm,Ressourcenmanagement und Ökosysteme,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden",Social Innovation Fund,Niederlande,35000,Recycling von seltenen Erden und Rohstoffen,Nachhaltige Ressourcen,Dr. Fabian Keller,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden"
Nachhaltigkeitsstrategien für die Zukunft,2024,Stockholm,Ressourcenmanagement und Ökosysteme,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden",Social Innovation Fund,Niederlande,35000,Lösungen für den Erhalt der Biodiversität in städtischen Gebieten,Ökosystemmanagement,Dr. Sarah Jung,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden"
Nachhaltigkeitsstrategien für die Zukunft,2024,Stockholm,Ressourcenmanagement und Ökosysteme,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden",Social Innovation Fund,Niederlande,35000,Erneuerbare Energiepolitik in der Europäischen Union,Umweltpolitik,Prof. Dr. Claudia Bauer,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden"
Nachhaltigkeitsstrategien für die Zukunft,2024,Stockholm,Ressourcenmanagement und Ökosysteme,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden",Social Innovation Fund,Niederlande,35000,Energiegewinnung aus Abfallstoffen,Nachhaltige Ressourcen,Dr. Fabian Keller,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden"
Technologie und soziale Zukunft,2024,Amsterdam,Zukunft der Arbeit und Gesellschaft,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande",AI Ethics Consortium,Deutschland,120000,Technologische Lösungen für soziale Herausforderungen,Soziale Innovation,Dr. Andreas Brandt,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande"
Technologie und soziale Zukunft,2024,Amsterdam,Zukunft der Arbeit und Gesellschaft,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande",AI Ethics Consortium,Deutschland,120000,Digitale Transformation der Arbeitsmärkte,Zukunft der Arbeit,Prof. Dr. Hannah Fuchs,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande"
Technologie und soziale Zukunft,2024,Amsterdam,Zukunft der Arbeit und Gesellschaft,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande",AI Ethics Consortium,Deutschland,120000,Technologie als Treiber für den sozialen Wandel,Technik und Gesellschaft,Dr. Markus Roth,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande"
Technologie und soziale Zukunft,2024,Amsterdam,Zukunft der Arbeit und Gesellschaft,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande",AI Ethics Consortium,Deutschland,120000,Fördere Technologien für die Unterstützung benachteiligter Gruppen,Soziale Innovation,Dr. Andreas Brandt,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande"
Technologie und soziale Zukunft,2024,Amsterdam,Zukunft der Arbeit und Gesellschaft,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande",AI Ethics Consortium,Deutschland,120000,Arbeiten in einer digitalisierten Welt,Zukunft der Arbeit,Prof. Dr. Hannah Fuchs,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande"
Globale Gesundheit und Infektionskrankheiten,2025,München,Tropenkrankheiten und Gesundheitsprävention,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland",AI Ethics Consortium,Deutschland,20000,Neue Impfstoffe gegen tropische Krankheiten,Infektionsbiologie,Dr. Clara Schulz,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland"
Globale Gesundheit und Infektionskrankheiten,2025,München,Tropenkrankheiten und Gesundheitsprävention,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland",AI Ethics Consortium,Deutschland,20000,Globale Gesundheitsrisiken durch Klimawandel,Global Health,Dr. Paul Reiter,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland"
Globale Gesundheit und Infektionskrankheiten,2025,München,Tropenkrankheiten und Gesundheitsprävention,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland",AI Ethics Consortium,Deutschland,20000,Neue Ansätze in der Bekämpfung von antibiotikaresistenten Keimen,Infektionsbiologie,Dr. Clara Schulz,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",Social Innovation Fund,Niederlande,50000,Neue Anwendungen in der Humanmedizin,Genomforschung,Dr. Lisa Hoffmann,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Global Health Foundation,USA,100000,Forschung zu regenerativen Küstenschutztechnologien,Küstenschutz und Erosionsforschung,Prof. Dr. Andreas Neumann,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",Social Innovation Fund,Niederlande,12000,Nanomaterialien für zukünftige Computergenerationen,Nanomaterialien,Prof. Dr. Daniel Weber,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Green Energy Partners,Dänemark,75000,Erneuerbare Energie aus Ozeanwellen,Erneuerbare Energien,Dr. Tobias Fischer,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
KI und Gesellschaft,2024,Berlin,Ethik und Auswirkungen von KI,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland",Social Innovation Fund,Niederlande,100000,Autonome Roboter in der Landwirtschaft,Robotik und Automatisierung,Dr. Jana Richter,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland"
Weltall und Leben,2025,Wien,Astrobiologie und Exoplanetenforschung,Institut für Astronomie und Weltraumforschung,"Wien, Österreich",Quantum Leap Technologies,USA,25000,Erforschung der Ursprünge des Universums,Kosmologie und Dunkle Materie,Dr. Florian Mayer,Institut für Astronomie und Weltraumforschung,"Wien, Österreich"
Nachhaltigkeitsstrategien für die Zukunft,2024,Stockholm,Ressourcenmanagement und Ökosysteme,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden",Social Innovation Fund,Niederlande,35000,Wiederherstellung von Land-Ökosystemen,Ökosystemmanagement,Dr. Sarah Jung,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden"
Technologie und soziale Zukunft,2024,Amsterdam,Zukunft der Arbeit und Gesellschaft,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande",AI Ethics Consortium,Deutschland,120000,KI-gestützte Stadtplanung für nachhaltige urbane Räume,Technik und Gesellschaft,Dr. Markus Roth,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande"
Globale Gesundheit und Infektionskrankheiten,2025,München,Tropenkrankheiten und Gesundheitsprävention,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland",AI Ethics Consortium,Deutschland,20000,Digitale Gesundheitslösungen für Entwicklungsländer,Global Health,Dr. Paul Reiter,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Global Health Foundation,USA,100000,Schutzmaßnahmen für Küstenregionen,Küstenschutz und Erosionsforschung,Prof. Dr. Andreas Neumann,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Global Health Foundation,USA,100000,Biodiversität in Nord- und Ostsee,Marine Biodiversität,Dr. Katharina Schulz,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",Social Innovation Fund,Niederlande,12000,Nanomaterialien für die Quantentechnologie,Nanomaterialien,Prof. Dr. Daniel Weber,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Green Energy Partners,Dänemark,75000,Energieeffiziente Technologien für die Zukunft,Energieeffizienz,Prof. Dr. Monika Braun,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Green Energy Partners,Dänemark,75000,Solare und Windenergie in urbanen Räumen,Erneuerbare Energien,Dr. Tobias Fischer,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Green Energy Partners,Dänemark,75000,Agri-Photovoltaik,Klimadynamik,Dr. Anna Müller,Institut für Klimaforschung,"Potsdam, Deutschland"
KI und Gesellschaft,2024,Berlin,Ethik und Auswirkungen von KI,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland",Social Innovation Fund,Niederlande,100000,Maschinelles Lernen für medizinische Diagnosen,Maschinelles Lernen,Prof. Dr. Robert Vogel,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland"
KI und Gesellschaft,2024,Berlin,Ethik und Auswirkungen von KI,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland",Social Innovation Fund,Niederlande,100000,Ethische Standards für künstliche Intelligenz,Ethik der KI,Dr. Markus Hahn,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland"
Weltall und Leben,2025,Wien,Astrobiologie und Exoplanetenforschung,Institut für Astronomie und Weltraumforschung,"Wien, Österreich",Quantum Leap Technologies,USA,25000,Leben auf Mars und anderen Planeten,Astrobiologie,Prof. Dr. Nicole Berger,Institut für Astronomie und Weltraumforschung,"Wien, Österreich"
Weltall und Leben,2025,Wien,Astrobiologie und Exoplanetenforschung,Institut für Astronomie und Weltraumforschung,"Wien, Österreich",Quantum Leap Technologies,USA,25000,Entdeckung und Analyse von Exoplaneten,Exoplanetenforschung,Dr. Christian Hartmann,Institut für Astronomie und Weltraumforschung,"Wien, Österreich"
Weltall und Leben,2025,Wien,Astrobiologie und Exoplanetenforschung,Institut für Astronomie und Weltraumforschung,"Wien, Österreich",Quantum Leap Technologies,USA,25000,Fortpflanzung in der Schwerelosigkeit,Biotechnologie,Dr. Thomas Becker,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Nachhaltigkeitsstrategien für die Zukunft,2024,Stockholm,Ressourcenmanagement und Ökosysteme,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden",Social Innovation Fund,Niederlande,35000,Ressourcenmanagement im 21. Jahrhundert,Nachhaltige Ressourcen,Dr. Fabian Keller,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden"
Nachhaltigkeitsstrategien für die Zukunft,2024,Stockholm,Ressourcenmanagement und Ökosysteme,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden",Social Innovation Fund,Niederlande,35000,Erhalt von Biodiversität in Europa,Ökosystemmanagement,Dr. Sarah Jung,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden"
Technologie und soziale Zukunft,2024,Amsterdam,Zukunft der Arbeit und Gesellschaft,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande",AI Ethics Consortium,Deutschland,120000,Technologische Innovation für soziale Gerechtigkeit,Soziale Innovation,Dr. Andreas Brandt,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande"
Technologie und soziale Zukunft,2024,Amsterdam,Zukunft der Arbeit und Gesellschaft,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande",AI Ethics Consortium,Deutschland,120000,Automatisierung und die Zukunft der Arbeit,Zukunft der Arbeit,Prof. Dr. Hannah Fuchs,Institut für Sozialwissenschaftliche Zukunftsforschung,"Amsterdam, Niederlande"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",Social Innovation Fund,Niederlande,50000,Zelltherapien für genetische Krankheiten,Zelltherapie,Prof. Dr. Peter Krause,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Global Health Foundation,USA,100000,Veränderungen in aquatischen Lebensräumen,Aquatische Ökosysteme,Dr. Stefan Lehmann,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",Social Innovation Fund,Niederlande,12000,Quantensimulation von Molekülstrukturen,Quantensimulation,Dr. Felix Keller,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Green Energy Partners,Dänemark,75000,Politische Ansätze für nachhaltige Energienutzung,Klimapolitik und Gesellschaft,Dr. Laura Lehmann,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
KI und Gesellschaft,2024,Berlin,Ethik und Auswirkungen von KI,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland",Social Innovation Fund,Niederlande,100000,Autonome Roboter in der Gesundheitsversorgung,Robotik und Automatisierung,Dr. Jana Richter,Forschungszentrum für Künstliche Intelligenz und Robotik,"Berlin, Deutschland"
Weltall und Leben,2025,Wien,Astrobiologie und Exoplanetenforschung,Institut für Astronomie und Weltraumforschung,"Wien, Österreich",Quantum Leap Technologies,USA,25000,Das Rätsel der dunklen Materie,Kosmologie und Dunkle Materie,Dr. Florian Mayer,Institut für Astronomie und Weltraumforschung,"Wien, Österreich"
Nachhaltigkeitsstrategien für die Zukunft,2024,Stockholm,Ressourcenmanagement und Ökosysteme,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden",Social Innovation Fund,Niederlande,35000,Politik für nachhaltigen Wandel,Umweltpolitik,Prof. Dr. Claudia Bauer,Zentrum für Umwelt- und Nachhaltigkeitswissenschaften,"Stockholm, Schweden"
Globale Gesundheit und Infektionskrankheiten,2025,München,Tropenkrankheiten und Gesundheitsprävention,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland",AI Ethics Consortium,Deutschland,20000,Globale Herausforderungen in der Tropenmedizin,Global Health,Dr. Paul Reiter,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland"
Globale Gesundheit und Infektionskrankheiten,2025,München,Tropenkrankheiten und Gesundheitsprävention,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland",AI Ethics Consortium,Deutschland,20000,Entwicklungen in der Bekämpfung von Malaria,Vektorübertragene Krankheiten,Prof. Dr. Alexander Wolf,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland"
Globale Gesundheit und Infektionskrankheiten,2025,München,Tropenkrankheiten und Gesundheitsprävention,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland",AI Ethics Consortium,Deutschland,20000,Innovationen in der Malaria-Prävention,Vektorübertragene Krankheiten,Prof. Dr. Alexander Wolf,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland"
Globale Gesundheit und Infektionskrankheiten,2025,München,Tropenkrankheiten und Gesundheitsprävention,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland",AI Ethics Consortium,Deutschland,20000,Lösungen für die Malaria-Bekämpfung,Vektorübertragene Krankheiten,Prof. Dr. Alexander Wolf,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland"
Globale Gesundheit und Infektionskrankheiten,2025,München,Tropenkrankheiten und Gesundheitsprävention,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland",AI Ethics Consortium,Deutschland,20000,Prävention von Dengue und Zika-Virus,Vektorübertragene Krankheiten,Prof. Dr. Alexander Wolf,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland"
Globale Gesundheit und Infektionskrankheiten,2025,München,Tropenkrankheiten und Gesundheitsprävention,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland",AI Ethics Consortium,Deutschland,20000,Forschung zu vektorübertragenen Krankheiten,Vektorübertragene Krankheiten,Prof. Dr. Alexander Wolf,Zentrum für Tropenmedizin und Infektionsforschung,"München, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Ocean Conservation Fund,Norwegen,10000,Analyse von Tropenstürmen im 21. Jahrhundert,Klimadynamik,Dr. Anna Müller,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Ocean Conservation Fund,Norwegen,10000,Effekte von globaler Erwärmung auf Monsunzyklen,Atmosphärische Modellierung,Prof. Dr. Michael Schmidt,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Ocean Conservation Fund,Norwegen,10000,Langfristige Wettervorhersagen und Klimamodelle,Klimadatenanalyse,Dr. Julia Wagner,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Ocean Conservation Fund,Norwegen,10000,Vorhersage von Dürren in Südafrika,Klimadynamik,Dr. Anna Müller,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Ocean Conservation Fund,Norwegen,10000,Simulation von Tornadoentstehung in den USA,Atmosphärische Modellierung,Prof. Dr. Michael Schmidt,Institut für Klimaforschung,"Potsdam, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",AI Ethics Consortium,Deutschland,100000,Neue Ansätze in der Stammzellforschung,Biotechnologie,Dr. Thomas Becker,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",AI Ethics Consortium,Deutschland,100000,Präzisionsmedizin auf Basis von Genomdaten,Genomforschung,Dr. Lisa Hoffmann,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",AI Ethics Consortium,Deutschland,100000,Genombasierte Ansätze für Krebstherapien,Zelltherapie,Prof. Dr. Peter Krause,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",AI Ethics Consortium,Deutschland,100000,Therapeutische Klonierung von menschlichen Zellen,Zelltherapie,Prof. Dr. Peter Krause,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
